;             Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;
;                     Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                    Taxa de Distorção Idade-Série por Município - 2014;;;;;;;;;;;;;;;;;;;;;;;
Taxa de Distorção Idade-Série, por Dependência Administrativa e Localização, nos Níveis de Ensino Fundamental de 8 e 9 anos e Médio, segundo a Região Geográfica, Unidades da Federação e seus respectivos Municípios em 2014. ;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Nome do Município;Localização;Rede;Taxa de Distorção Idade-Série - Ensino Fundamental de 8 e 9 anos;;;;;;;;;;;;Taxa de Distorção Idade-Série - Ensino Médio;;;;
;;;;;;;Total Fundamental;1º ao 5º Ano;6º ao 9º Ano;1º Ano;2º Ano;3º Ano;4º Ano;5º Ano;6º Ano;7º Ano;8º Ano;9º Ano;Total Médio; 1ª Série; 2ª Série; 3ª Série; 4ª Série
;;;;;;;;;;;;;;;;;;;;;;;
ano;NO_REGIAO;SIGLA;PK_COD_MUNICIPIO;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;52.7;57.2;52.8;30.6;--
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Total;Municipal;41.3;35.4;48.3;18.1;35.9;35.5;42.9;43.9;52.1;43.5;54.4;38.9;44.2;49.6;40.7;31.2;50
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Total;Privada;7.6;5.4;10.2;1.9;7.5;1.7;8.2;8.2;9.1;4.8;16.4;10.5;15.9;14.8;17.6;--;--
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Total;Publico;41.3;35.4;48.3;18.1;35.9;35.5;42.9;43.9;52.1;43.5;54.4;38.9;46.4;51.5;44.4;31.1;50
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Urbana;Total;38.4;32.7;45;16.7;33.3;32.4;39.5;41.1;49.5;39.5;51.4;35.8;45.4;50.1;43.4;31.1;50
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;52.7;57.2;52.8;30.6;--
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Urbana;Municipal;41.3;35.4;48.3;18.1;35.9;35.5;42.9;43.9;52.1;43.5;54.4;38.9;44.2;49.6;40.7;31.2;50
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Urbana;Privada;7.6;5.4;10.2;1.9;7.5;1.7;8.2;8.2;9.1;4.8;16.4;10.5;15.9;14.8;17.6;--;--
2014;Sudeste;RJ;3300233;ARMACAO DOS BUZIOS;Urbana;Publico;41.3;35.4;48.3;18.1;35.9;35.5;42.9;43.9;52.1;43.5;54.4;38.9;46.4;51.5;44.4;31.1;50
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Total;33.5;27.2;42.6;17.5;20.5;31.8;33.3;33;53.1;41.2;39.7;32.8;30.3;34.3;32.7;19.4;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Estadual;38.5;--;38.5;--;--;--;--;--;--;--;--;38.5;47.7;50.7;53.8;33.7;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Federal;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Municipal;40.8;33.6;51.8;22.8;25.9;38.8;39.2;40.6;60.6;50.6;49.2;37.8;18.8;24.3;20.3;7.1;--
